cps19_votechoice,cps19_gender,cps19_age,cps19_province,cps19_education,education_level,gender,Age
Liberal Party,A woman,46,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Liberal Party,A man,45,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Conservative Party,A woman,35,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,35 to 44
Bloc Québécois,A woman,32,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A man,30,Quebec,Master's degree,"Highest certificate, diploma or degree",Male,25 to 34
Liberal Party,A woman,37,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Female,35 to 44
Green Party,A man,30,Quebec,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,25 to 34
Conservative Party,A woman,35,Nova Scotia,Master's degree,"Highest certificate, diploma or degree",Female,35 to 44
Conservative Party,A man,50,Alberta,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,45 to 54
ndp,A man,27,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,25 to 34
Liberal Party,A woman,50,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,61,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
Liberal Party,A man,61,British Columbia,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
ndp,A woman,27,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A woman,56,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Liberal Party,A man,61,Alberta,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,55 to 64
Liberal Party,A man,31,Ontario,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,25 to 34
ndp,A man,41,Newfoundland and Labrador,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
ndp,A woman,45,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
ndp,A woman,30,Quebec,Master's degree,"Highest certificate, diploma or degree",Female,25 to 34
Conservative Party,A man,52,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
Conservative Party,A woman,57,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Female,55 to 64
Don't know/ Prefer not to answer,A woman,26,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A man,25,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,25 to 34
ndp,A woman,32,Ontario,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,25 to 34
Another party (please specify),A woman,44,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,35 to 44
ndp,A woman,40,Saskatchewan,Some secondary/ high school,Other,Female,35 to 44
Bloc Québécois,A man,63,Quebec,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Conservative Party,A man,28,Ontario,Master's degree,"Highest certificate, diploma or degree",Male,25 to 34
Conservative Party,A woman,62,Saskatchewan,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,55 to 64
People's Party,A man,38,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Green Party,A man,29,Quebec,Some university,University certificate or diploma below bachelor level,Male,25 to 34
Don't know/ Prefer not to answer,A woman,53,Quebec,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
ndp,A woman,57,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Liberal Party,A man,60,Manitoba,Master's degree,"Highest certificate, diploma or degree",Male,55 to 64
People's Party,A woman,26,Quebec,Some university,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A woman,32,Alberta,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Don't know/ Prefer not to answer,A woman,60,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Liberal Party,A woman,32,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A man,31,Quebec,Professional degree or doctorate,"Highest certificate, diploma or degree",Male,25 to 34
Liberal Party,A man,26,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,25 to 34
ndp,A woman,49,Manitoba,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Don't know/ Prefer not to answer,A man,63,Manitoba,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
ndp,A man,40,British Columbia,Bachelor's degree,University certificate or diploma below bachelor level,Male,35 to 44
Liberal Party,A woman,60,Ontario,Professional degree or doctorate,"Highest certificate, diploma or degree",Female,55 to 64
Conservative Party,A woman,63,Ontario,Some university,University certificate or diploma below bachelor level,Female,55 to 64
ndp,A woman,29,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Conservative Party,A woman,43,Quebec,Master's degree,"Highest certificate, diploma or degree",Female,35 to 44
Liberal Party,A woman,29,Nova Scotia,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
ndp,A woman,30,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,25 to 34
Green Party,A woman,63,British Columbia,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Liberal Party,A man,53,Newfoundland and Labrador,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,45 to 54
Liberal Party,A woman,28,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Liberal Party,A woman,56,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Green Party,A woman,41,Quebec,Master's degree,"Highest certificate, diploma or degree",Female,35 to 44
Conservative Party,A man,56,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Male,55 to 64
Conservative Party,A woman,50,Saskatchewan,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,45 to 54
Conservative Party,A woman,62,Quebec,Some university,University certificate or diploma below bachelor level,Female,55 to 64
Liberal Party,A man,37,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
Don't know/ Prefer not to answer,A woman,50,Ontario,Completed secondary/ high school,Secondary (high) school diploma or equivalency certificate,Female,45 to 54
Liberal Party,A woman,49,British Columbia,Some university,University certificate or diploma below bachelor level,Female,45 to 54
Don't know/ Prefer not to answer,A woman,39,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Conservative Party,A woman,31,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,25 to 34
Green Party,A woman,55,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Conservative Party,A man,48,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Male,45 to 54
ndp,A man,25,Saskatchewan,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Male,25 to 34
Don't know/ Prefer not to answer,A woman,56,Ontario,"Some technical, community college, CEGEP, College Classique",Apprenticeship or trades certificate or diploma,Female,55 to 64
Conservative Party,A man,60,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Male,55 to 64
ndp,A man,37,Alberta,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Male,35 to 44
Liberal Party,A woman,35,Ontario,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,35 to 44
Liberal Party,A woman,30,Quebec,Bachelor's degree,University certificate or diploma below bachelor level,Female,25 to 34
Conservative Party,A woman,50,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Don't know/ Prefer not to answer,A woman,56,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
Don't know/ Prefer not to answer,A woman,49,Ontario,Bachelor's degree,University certificate or diploma below bachelor level,Female,45 to 54
Liberal Party,A woman,64,British Columbia,"Completed technical, community college, CEGEP, College Classique","College, CEGEP or other non-university certificate or diploma",Female,55 to 64
